pool_name,pool_id,coupon,settle_date,market_price
fhlmc15,10,4,5/20/2019,100.0263955
fhlmc15,10,4,6/20/2019,99.95698721
fhlmc15,10,4,7/20/2019,99.89808902
fhlmc15,10,4,8/20/2019,99.78226979
fhlmc15,10,4,9/20/2019,99.55104758
fhlmc15,10,4,10/20/2019,99.08860316
fhlmc15,10,4.5,5/20/2019,101.0266594
fhlmc15,10,4.5,6/20/2019,100.9565571
fhlmc15,10,4.5,7/20/2019,100.8970699
fhlmc15,10,4.5,8/20/2019,100.7800925
fhlmc15,10,4.5,9/20/2019,100.5465581
fhlmc15,10,4.5,10/20/2019,100.0794892
fhlmc15,10,5,5/20/2019,102.036926
fhlmc15,10,5,6/20/2019,101.9661227
fhlmc15,10,5,7/20/2019,101.9060406
fhlmc15,10,5,8/20/2019,101.7878934
fhlmc15,10,5,9/20/2019,101.5520236
fhlmc15,10,5,10/20/2019,101.0802841
fhlmc15,10,5.5,5/20/2019,103.0572953
fhlmc15,10,5.5,6/20/2019,102.9857839
fhlmc15,10,5.5,7/20/2019,102.925101
fhlmc15,10,5.5,8/20/2019,102.8057724
fhlmc15,10,5.5,9/20/2019,102.5675439
fhlmc15,10,5.5,10/20/2019,102.0910869
fhlmc20,11,4,5/20/2019,100.0263955
fhlmc20,11,4,6/20/2019,99.95698721
fhlmc20,11,4,7/20/2019,99.89808902
fhlmc20,11,4,8/20/2019,99.78226979
fhlmc20,11,4,9/20/2019,99.55104758
fhlmc20,11,4,10/20/2019,99.08860316
fhlmc20,11,4.5,5/20/2019,101.0266594
fhlmc20,11,4.5,6/20/2019,100.9565571
fhlmc20,11,4.5,7/20/2019,100.8970699
fhlmc20,11,4.5,8/20/2019,100.7800925
fhlmc20,11,4.5,9/20/2019,100.5465581
fhlmc20,11,4.5,10/20/2019,100.0794892
fhlmc20,11,5,5/20/2019,102.036926
fhlmc20,11,5,6/20/2019,101.9661227
fhlmc20,11,5,7/20/2019,101.9060406
fhlmc20,11,5,8/20/2019,101.7878934
fhlmc20,11,5,9/20/2019,101.5520236
fhlmc20,11,5,10/20/2019,101.0802841
fhlmc20,11,5.5,5/20/2019,103.0572953
fhlmc20,11,5.5,6/20/2019,102.9857839
fhlmc20,11,5.5,7/20/2019,102.925101
fhlmc20,11,5.5,8/20/2019,102.8057724
fhlmc20,11,5.5,9/20/2019,102.5675439
fhlmc20,11,5.5,10/20/2019,102.0910869
fhlmc,12,4,5/20/2019,100.0263955
fhlmc,12,4,6/20/2019,99.95698721
fhlmc,12,4,7/20/2019,99.89808902
fhlmc,12,4,8/20/2019,99.78226979
fhlmc,12,4,9/20/2019,99.55104758
fhlmc,12,4,10/20/2019,99.08860316
fhlmc,12,4.5,5/20/2019,101.0266594
fhlmc,12,4.5,6/20/2019,100.9565571
fhlmc,12,4.5,7/20/2019,100.8970699
fhlmc,12,4.5,8/20/2019,100.7800925
fhlmc,12,4.5,9/20/2019,100.5465581
fhlmc,12,4.5,10/20/2019,100.0794892
fhlmc,12,5,5/20/2019,102.036926
fhlmc,12,5,6/20/2019,101.9661227
fhlmc,12,5,7/20/2019,101.9060406
fhlmc,12,5,8/20/2019,101.7878934
fhlmc,12,5,9/20/2019,101.5520236
fhlmc,12,5,10/20/2019,101.0802841
fhlmc,12,5.5,5/20/2019,103.0572953
fhlmc,12,5.5,6/20/2019,102.9857839
fhlmc,12,5.5,7/20/2019,102.925101
fhlmc,12,5.5,8/20/2019,102.8057724
fhlmc,12,5.5,9/20/2019,102.5675439
fhlmc,12,5.5,10/20/2019,102.0910869
fnma15,21,4,5/20/2019,100.0263955
fnma15,21,4,6/20/2019,99.95698721
fnma15,21,4,7/20/2019,99.89808902
fnma15,21,4,8/20/2019,99.78226979
fnma15,21,4,9/20/2019,99.55104758
fnma15,21,4,10/20/2019,99.08860316
fnma15,21,4.5,5/20/2019,101.0266594
fnma15,21,4.5,6/20/2019,100.9565571
fnma15,21,4.5,7/20/2019,100.8970699
fnma15,21,4.5,8/20/2019,100.7800925
fnma15,21,4.5,9/20/2019,100.5465581
fnma15,21,4.5,10/20/2019,100.0794892
fnma15,21,5,5/20/2019,102.036926
fnma15,21,5,6/20/2019,101.9661227
fnma15,21,5,7/20/2019,101.9060406
fnma15,21,5,8/20/2019,101.7878934
fnma15,21,5,9/20/2019,101.5520236
fnma15,21,5,10/20/2019,101.0802841
fnma15,21,5.5,5/20/2019,103.0572953
fnma15,21,5.5,6/20/2019,102.9857839
fnma15,21,5.5,7/20/2019,102.925101
fnma15,21,5.5,8/20/2019,102.8057724
fnma15,21,5.5,9/20/2019,102.5675439
fnma15,21,5.5,10/20/2019,102.0910869
fnma20,22,4,5/20/2019,100.0263955
fnma20,22,4,6/20/2019,99.95698721
fnma20,22,4,7/20/2019,99.89808902
fnma20,22,4,8/20/2019,99.78226979
fnma20,22,4,9/20/2019,99.55104758
fnma20,22,4,10/20/2019,99.08860316
fnma20,22,4.5,5/20/2019,101.0266594
fnma20,22,4.5,6/20/2019,100.9565571
fnma20,22,4.5,7/20/2019,100.8970699
fnma20,22,4.5,8/20/2019,100.7800925
fnma20,22,4.5,9/20/2019,100.5465581
fnma20,22,4.5,10/20/2019,100.0794892
fnma20,22,5,5/20/2019,102.036926
fnma20,22,5,6/20/2019,101.9661227
fnma20,22,5,7/20/2019,101.9060406
fnma20,22,5,8/20/2019,101.7878934
fnma20,22,5,9/20/2019,101.5520236
fnma20,22,5,10/20/2019,101.0802841
fnma20,22,5.5,5/20/2019,103.0572953
fnma20,22,5.5,6/20/2019,102.9857839
fnma20,22,5.5,7/20/2019,102.925101
fnma20,22,5.5,8/20/2019,102.8057724
fnma20,22,5.5,9/20/2019,102.5675439
fnma20,22,5.5,10/20/2019,102.0910869
fnma,23,4,5/20/2019,100.0263955
fnma,23,4,6/20/2019,99.95698721
fnma,23,4,7/20/2019,99.89808902
fnma,23,4,8/20/2019,99.78226979
fnma,23,4,9/20/2019,99.55104758
fnma,23,4,10/20/2019,99.08860316
