agency,issue_month,pool_id,lpmi_flag,note_rate_min,note_rate_max,remaining_term_min,remaining_term_max,buy_up_mults,buy_down_mults
fhlmc,2021-06-01,10,0,4,4.999,0,110,1.34,2.74
fhlmc,2021-06-01,10,0,4,4.999,111,120,3.81,5.21
fhlmc,2021-06-01,10,0,4,4.999,121,170,4.19,5.59
fhlmc,2021-06-01,10,0,4,4.999,171,999,4.98,6.38
fhlmc,2021-06-01,10,0,5,5.999,0,110,1.34,2.74
fhlmc,2021-06-01,10,0,5,5.999,111,120,3.81,5.21
fhlmc,2021-06-01,10,0,5,5.999,121,170,4.19,5.59
fhlmc,2021-06-01,10,0,5,5.999,171,999,4.98,6.38
fhlmc,2021-06-01,11,0,4,4.999,0,110,1.34,2.74
fhlmc,2021-06-01,11,0,4,4.999,111,120,3.81,5.21
fhlmc,2021-06-01,11,0,4,4.999,121,170,4.19,5.59
fhlmc,2021-06-01,11,0,4,4.999,171,999,4.98,6.38
fhlmc,2021-06-01,11,0,5,5.999,0,110,1.34,2.74
fhlmc,2021-06-01,11,0,5,5.999,111,120,3.81,5.21
fhlmc,2021-06-01,11,0,5,5.999,121,170,4.19,5.59
fhlmc,2021-06-01,11,0,5,5.999,171,999,4.98,6.38
fhlmc,2021-06-01,12,0,4,4.999,0,110,1.34,2.74
fhlmc,2021-06-01,12,0,4,4.999,111,120,3.81,5.21
fhlmc,2021-06-01,12,0,4,4.999,121,170,4.19,5.59
fhlmc,2021-06-01,12,0,4,4.999,171,999,4.98,6.38
fhlmc,2021-06-01,12,0,5,5.999,0,110,1.34,2.74
fhlmc,2021-06-01,12,0,5,5.999,111,120,3.81,5.21
fhlmc,2021-06-01,12,0,5,5.999,121,170,4.19,5.59
fhlmc,2021-06-01,12,0,5,5.999,171,999,4.98,6.38
fhlmc,2019-05-25,3474,0,4,4.999,0,110,1.34,2.74
fhlmc,2021-06-01,3474,0,4,4.999,111,120,3.81,5.21
fhlmc,2021-06-01,3474,0,4,4.999,121,170,4.19,5.59
fhlmc,2021-06-01,3474,0,4,4.999,171,999,4.98,6.38
fhlmc,2021-06-01,3474,0,5,5.999,0,110,1.34,2.74
fhlmc,2021-06-01,3474,0,5,5.999,111,120,3.81,5.21
fhlmc,2021-06-01,3474,0,5,5.999,121,170,4.19,5.59
fhlmc,2021-06-01,3474,0,5,5.999,171,999,4.98,6.38
fhlmc,2021-06-01,3485,0,4,4.999,0,110,1.34,2.74
fhlmc,2021-06-01,3485,0,4,4.999,111,120,3.81,5.21
fhlmc,2021-06-01,3485,0,4,4.999,121,170,4.19,5.59
fhlmc,2021-06-01,3485,0,4,4.999,171,999,4.98,6.38
fhlmc,2021-06-01,3485,0,5,5.999,0,110,1.34,2.74
fhlmc,2021-06-01,3485,0,5,5.999,111,120,3.81,5.21
fhlmc,2021-06-01,3485,0,5,5.999,121,170,4.19,5.59
fhlmc,2021-06-01,3485,0,5,5.999,171,999,4.98,6.38
fhlmc,2021-06-01,3492,0,4,4.999,0,110,1.34,2.74
fhlmc,2021-06-01,3492,0,4,4.999,111,120,3.81,5.21
fhlmc,2021-06-01,3492,0,4,4.999,121,170,4.19,5.59
fhlmc,2021-06-01,3492,0,4,4.999,171,999,4.98,6.38
fhlmc,2021-06-01,3492,0,5,5.999,0,110,1.34,2.74
fhlmc,2021-06-01,3492,0,5,5.999,111,120,3.81,5.21
fhlmc,2021-06-01,3492,0,5,5.999,121,170,4.19,5.59
fhlmc,2021-06-01,3492,0,5,5.999,171,999,4.98,6.38
fhlmc,2021-06-01,3498,0,4,4.999,0,110,1.34,2.74
fhlmc,2021-06-01,3498,0,4,4.999,111,120,3.81,5.21
fhlmc,2021-06-01,3498,0,4,4.999,121,170,4.19,5.59
fhlmc,2021-06-01,3498,0,4,4.999,171,999,4.98,6.38
fhlmc,2021-06-01,3498,0,5,5.999,0,110,1.34,2.74
fhlmc,2021-06-01,3498,0,5,5.999,111,120,3.81,5.21
fhlmc,2021-06-01,3498,0,5,5.999,121,170,4.19,5.59
fhlmc,2021-06-01,3498,0,5,5.999,171,999,4.98,6.38
fhlmc,2021-06-01,3528,0,4,4.999,0,110,1.34,2.74
fhlmc,2021-06-01,3528,0,4,4.999,111,120,3.81,5.21
fhlmc,2021-06-01,3528,0,4,4.999,121,170,4.19,5.59
fhlmc,2021-06-01,3528,0,4,4.999,171,999,4.98,6.38
fhlmc,2021-06-01,3528,0,5,5.999,0,110,1.34,2.74
fhlmc,2021-06-01,3528,0,5,5.999,111,120,3.81,5.21
fhlmc,2021-06-01,3528,0,5,5.999,121,170,4.19,5.59
fhlmc,2021-06-01,3528,0,5,5.999,171,999,4.98,6.38
fhlmc,2021-06-01,3529,0,4,4.999,0,110,1.34,2.74
fhlmc,2021-06-01,3529,0,4,4.999,111,120,3.81,5.21
fhlmc,2021-06-01,3529,0,4,4.999,121,170,4.19,5.59
fhlmc,2021-06-01,3529,0,4,4.999,171,999,4.98,6.38
fhlmc,2021-06-01,3529,0,5,5.999,0,110,1.34,2.74
fhlmc,2021-06-01,3529,0,5,5.999,111,120,3.81,5.21
fhlmc,2021-06-01,3529,0,5,5.999,121,170,4.19,5.59
fhlmc,2021-06-01,3529,0,5,5.999,171,999,4.98,6.38
fhlmc,2021-06-01,3530,0,4,4.999,0,110,1.34,2.74
fhlmc,2021-06-01,3530,0,4,4.999,111,120,3.81,5.21
fhlmc,2021-06-01,3530,0,4,4.999,121,170,4.19,5.59
fhlmc,2021-06-01,3530,0,4,4.999,171,999,4.98,6.38
fhlmc,2021-06-01,3530,0,5,5.999,0,110,1.34,2.74
fhlmc,2021-06-01,3530,0,5,5.999,111,120,3.81,5.21
fhlmc,2021-06-01,3530,0,5,5.999,121,170,4.19,5.59
fhlmc,2021-06-01,3530,0,5,5.999,171,999,4.98,6.38
fnma,2021-06-01,21,0,4,4.999,0,110,1.34,2.74
fnma,2019-05-25,21,0,4,4.999,111,120,3.81,5.21
fnma,2021-06-01,21,0,4,4.999,121,170,4.19,5.59
fnma,2021-06-01,21,0,4,4.999,171,999,4.98,6.38
fnma,2021-06-01,21,0,5,5.999,0,110,1.34,2.74
fnma,2021-06-01,21,0,5,5.999,111,120,3.81,5.21
fnma,2021-06-01,21,0,5,5.999,121,170,4.19,5.59
fnma,2021-06-01,21,0,5,5.999,171,999,4.98,6.38
fnma,2021-06-01,22,0,4,4.999,0,110,1.34,2.74
fnma,2021-06-01,22,0,4,4.999,111,120,3.81,5.21
fnma,2021-06-01,22,0,4,4.999,121,170,4.19,5.59
fnma,2021-06-01,22,0,4,4.999,171,999,4.98,6.38
fnma,2021-06-01,22,0,5,5.999,0,110,1.34,2.74
fnma,2021-06-01,22,0,5,5.999,111,120,3.81,5.21
fnma,2021-06-01,22,0,5,5.999,121,170,4.19,5.59
fnma,2021-06-01,22,0,5,5.999,171,999,4.98,6.38
fnma,2021-06-01,23,0,4,4.999,0,110,1.34,2.74
fnma,2021-06-01,23,0,4,4.999,111,120,3.81,5.21
fnma,2021-06-01,23,0,4,4.999,121,170,4.19,5.59
fnma,2021-06-01,23,0,4,4.999,171,999,4.98,6.38
fnma,2021-06-01,23,0,5,5.999,0,110,1.34,2.74
fnma,2021-06-01,23,0,5,5.999,111,120,3.81,5.21
fnma,2021-06-01,23,0,5,5.999,121,170,4.19,5.59
fnma,2021-06-01,23,0,5,5.999,171,999,4.98,6.38
gnma,2021-06-01,24,0,4,4.999,0,110,1.34,2.74
gnma,2021-06-01,24,0,4,4.999,111,120,3.81,5.21
gnma,2021-06-01,24,0,4,4.999,121,170,4.19,5.59
